event_id,sid,early_probability,event_proximal_probability,delta,positive_temporal_change
000124_01,S7025,0.42267102173204824,0.8647599839816518,0.44208896224960353,1
000124_02,S7025,0.754884659337073,0.8932884361019418,0.1384037767648687,1
000126_01,S7025,0.8251593824818171,0.8916486420867824,0.06648925960496532,1
000126_02,S7025,0.9185380401818183,0.9615159940096002,0.04297795382778191,1
000128_01,S7025,0.748635975034843,0.8943687722295331,0.14573279719469012,1
000128_02,S7025,0.823959953864732,0.9465144990805032,0.12255454521577125,1
000129_01,S7025,0.5108194401885123,0.8783715634218211,0.36755212323330877,1
000129_02,S7025,0.909263517504431,0.9539200073552642,0.04465648985083315,1
000130_01,S7025,0.7006153056518107,0.8543729971496784,0.15375769149786767,1
000130_02,S7025,0.8049612655843049,0.9484747076489355,0.14351344206463057,1
000131_01,S7025,0.7422132645524545,0.8467820909365904,0.1045688263841359,1
000131_02,S7025,0.8003659772839637,0.9638812260586382,0.1635152487746745,1
000132_01,S7025,0.8017774823712656,0.9126678975410073,0.11089041516974174,1
000132_02,S7025,0.9539291374532338,0.9384830296381959,-0.015446107815037968,0
000133_01,S7025,0.5790475109439375,0.8658799052757749,0.2868323943318374,1
000133_02,S7025,0.8545456244017774,0.9240189194246557,0.06947329502287836,1
000135_01,S7025,0.7339343577953049,0.8636157071344494,0.12968134933914444,1
000135_02,S7025,0.7872587718395916,0.7756575441747792,-0.011601227664812419,0
000137_01,S7025,0.7198189749026663,0.8104739147636564,0.09065493986099005,1
000137_02,S7025,0.6927504634338743,0.9127765301582558,0.22002606672438152,1
000138_01,S7025,0.8676563743697625,0.8717965913307107,0.00414021696094824,1
000138_02,S7025,0.867705266370752,0.936619634519371,0.06891436814861907,1
000141_01,S7025,0.6392155635617105,0.9164905805324582,0.27727501697074775,1
000141_02,S7025,0.8377328780953712,0.9462480838215102,0.10851520572613893,1
000142_01,S7025,0.7620509264000204,0.9269418228630455,0.16489089646302513,1
000142_02,S7025,0.7922973447178865,0.961840605669964,0.1695432609520775,1
000143_01,S7025,0.8443855272509473,0.9042057355991266,0.05982020834817936,1
000143_02,S7025,0.7800508467890939,0.9328804401844247,0.15282959339533086,1
000144_01,S7025,0.758223494621333,0.9315087092417499,0.1732852146204169,1
000144_02,S7025,0.8271875950963928,0.9447932058450988,0.11760561074870601,1
000146_01,S7025,0.5928068205955014,0.8932576618967535,0.3004508413012521,1
000146_02,S7025,0.8693118499736089,0.9584493970599995,0.08913754708639066,1
000147_01,S7025,0.8279282648692133,0.902683900771871,0.07475563590265766,1
000147_02,S7025,0.8892774912144759,0.9713638684306336,0.08208637721615775,1
000149_01,S7025,0.7533007982566194,0.9627732911246533,0.20947249286803382,1
000149_02,S7025,0.9417659333728687,0.9657365167251121,0.023970583352243335,1
000150_01,S7025,0.7298099701776511,0.9234015446848638,0.19359157450721265,1
000150_02,S7025,0.8920493019644798,0.9731332515640274,0.08108394959954757,1
000151_01,S7025,0.8707682459920126,0.8675423849039421,-0.0032258610880705474,0
000151_02,S7025,0.8611614296778578,0.9413447507451592,0.08018332106730142,1
000152_01,S7025,0.8242048646000288,0.9278641922718203,0.10365932767179142,1
000152_02,S7025,0.8932213950053369,0.9583362259990111,0.06511483099367421,1
000154_01,S7025,0.7249296057212531,0.947778576950834,0.22284897122958092,1
000154_02,S7025,0.9170429534972124,0.9334675241707355,0.016424570673523098,1
000155_01,S7025,0.8507949576054618,0.9590090971950046,0.10821413958954285,1
000155_02,S7025,0.8594165222530674,0.9482576040925811,0.08884108183951367,1
000156_01,S7025,0.784656104725748,0.919059202014404,0.13440309728865607,1
000156_02,S7025,0.8634578554818994,0.9495113196747366,0.08605346419283721,1
000157_01,S7025,0.8651573996251343,0.9165386806092937,0.051381280984159394,1
000157_02,S7025,0.9254968327274338,0.9391329497276217,0.013636117000187964,1
000158_01,S7025,0.7430548644658175,0.9362886066509513,0.19323374218513378,1
000158_02,S7025,0.6979976384882074,0.9181839916968405,0.2201863532086331,1
000159_01,S7025,0.6487079637331394,0.922964537426006,0.2742565736928666,1
000159_02,S7025,0.9025244439768871,0.9345832396734756,0.03205879569658843,1
000160_01,S7025,0.7495790587881926,0.8837361560284307,0.13415709724023805,1
000160_02,S7025,0.8544250783755347,0.9420628764530679,0.08763779807753314,1
000161_01,S7025,0.7954323530496673,0.8793287353284267,0.0838963822787594,1
000161_02,S7025,0.8502305086355323,0.9267200544205041,0.0764895457849718,1
000163_01,S7025,0.6912997193758964,0.9140817826085962,0.22278206323269978,1
000163_02,S7025,0.8481280493881739,0.932084702213082,0.08395665282490816,1
000165_01,S7025,0.847242384008605,0.8370781683281695,-0.010164215680435462,0
000165_02,S7025,0.9089471322721591,0.9651573436796119,0.05621021140745286,1
000166_01,S7025,0.7452488394655602,0.9332005232739474,0.18795168380838723,1
000166_02,S7025,0.9055737272640326,0.9536680413002094,0.04809431403617681,1
000167_01,S7025,0.7444087318406246,0.9271172219586064,0.18270849011798174,1
000167_02,S7025,0.8737045540913552,0.9754381598316223,0.10173360574026713,1
000168_01,S7025,0.8153535069395486,0.9505118112052091,0.13515830426566056,1
000168_02,S7025,0.8836967122582244,0.9727021126609682,0.08900540040274374,1
000169_01,S7025,0.5985557509045893,0.9100155746751991,0.31145982377060977,1
000169_02,S7025,0.7727219547393515,0.9658525743436369,0.19313061960428546,1
000170_01,S7025,0.7864112022498715,0.868872435585809,0.08246123333593747,1
000170_02,S7025,0.9134987486253788,0.9782292558179293,0.06473050719255047,1
000171_01,S7025,0.7331308754741788,0.9089794637375478,0.17584858826336902,1
000171_02,S7025,0.8757624507760218,0.940217074714745,0.06445462393872325,1
000172_01,S7025,0.7376987495373138,0.9171105761304376,0.1794118265931237,1
000172_02,S7025,0.92089320451165,0.9491283015329434,0.028235097021293343,1
000173_01,S7025,0.6932284169659836,0.8296670410819654,0.13643862411598184,1
000173_02,S7025,0.8518844981468564,0.9714218856309104,0.11953738748405396,1
000174_01,S7025,0.8351447732753,0.9475337369956636,0.11238896372036355,1
000174_02,S7025,0.8527561346109098,0.9569911973290471,0.10423506271813732,1
000175_01,S7025,0.5942855880154954,0.9498513015932241,0.3555657135777287,1
000175_02,S7025,0.8939124946036877,0.9666673499070582,0.07275485530337045,1
000176_01,S7025,0.8248442380334087,0.9152476038733004,0.09040336583989173,1
000176_02,S7025,0.8894004615859473,0.9482563015129739,0.05885583992702659,1
000178_01,S7025,0.7215725700597462,0.9310582066091465,0.20948563654940033,1
000178_02,S7025,0.9448471781219933,0.9738036233063079,0.028956445184314616,1
000179_01,S7025,0.5200361916014941,0.9423216912545811,0.42228549965308704,1
000179_02,S7025,0.9019932512630602,0.9761802217793855,0.07418697051632528,1
000180_01,S7025,0.8444172769074266,0.8815974530335433,0.03718017612611668,1
000180_02,S7025,0.8305999050264816,0.9675374929086871,0.13693758788220545,1
000181_01,S7025,0.6709531513837942,0.9292384847618359,0.2582853333780417,1
000181_02,S7025,0.873869848118533,0.9801428993144271,0.10627305119589414,1
000182_01,S7025,0.6324352964001022,0.9216079204175691,0.2891726240174669,1
000182_02,S7025,0.8536426917520875,0.9712179157798368,0.11757522402774934,1
000183_01,S7025,0.7690825065954385,0.9328322116061244,0.16374970501068586,1
000183_02,S7025,0.7561276139252711,0.9239641971022107,0.1678365831769396,1
000185_01,S7025,0.8608657458989198,0.932304477201273,0.07143873130235312,1
000185_02,S7025,0.7814848659546819,0.9706710651820822,0.18918619922740032,1
000186_01,S7025,0.7295752901658434,0.8683974046445861,0.1388221144787427,1
000186_02,S7025,0.9233087848623708,0.9560651463530184,0.032756361490647645,1
000187_01,S7025,0.920005178760914,0.8881101330890825,-0.031895045671831546,0
000187_02,S7025,0.8640072232957994,0.937825001132324,0.07381777783652466,1
000188_01,S7025,0.8645782449122335,0.8511055765883377,-0.013472668323895709,0
000188_02,S7025,0.928644315185863,0.9470149759188459,0.01837066073298288,1
000189_01,S7025,0.8758625489839954,0.9412236277592885,0.06536107877529307,1
000189_02,S7025,0.9074676748541287,0.9812048892841774,0.07373721443004866,1
000190_01,S7025,0.6704571424876252,0.8655066642610191,0.19504952177339385,1
000190_02,S7025,0.9271040704516784,0.9806213206896947,0.053517250238016234,1
000191_01,S7025,0.6819175902639978,0.9317021935010621,0.2497846032370643,1
000191_02,S7025,0.8698193365027768,0.9818408390552192,0.11202150255244248,1
000193_01,S7025,0.8630574012490602,0.9494419825618878,0.08638458131282767,1
000193_02,S7025,0.9205621226816164,0.9658844315324299,0.04532230885081345,1
000194_01,S7025,0.8638392903752447,0.8758289302837726,0.011989639908527971,1
000194_02,S7025,0.9138790368344752,0.9807206024241704,0.06684156558969512,1
000195_01,S7025,0.9146374933407728,0.6466957143464813,-0.2679417789942915,0
000195_02,S7025,0.8812671951456075,0.9670311463820659,0.08576395123645841,1
000196_01,S7025,0.7816604124123038,0.9667651473661705,0.1851047349538667,1
000196_02,S7025,0.8745054617912691,0.9588766771447745,0.08437121535350545,1
000197_01,S7025,0.8588602614491376,0.915270869618583,0.05641060816944532,1
000197_02,S7025,0.9021641263465424,0.9805123172797922,0.07834819093324974,1
000198_01,S7025,0.8361198362364108,0.9407148962212369,0.1045950599848261,1
000198_02,S7025,0.9068163065969883,0.9697482713900726,0.06293196479308427,1
000199_01,S7025,0.8652122492012254,0.9530515271494003,0.08783927794817492,1
000199_02,S7025,0.9355762967129132,0.9767437642921455,0.041167467579232286,1
000200_01,S7025,0.7719549229503316,0.9618548484632761,0.18989992551294443,1
000200_02,S7025,0.9370698428326133,0.9746950315204512,0.03762518868783793,1
000201_01,S7025,0.8331041218571509,0.9653812996212671,0.13227717776411618,1
000201_02,S7025,0.9461927594503424,0.9734758226758986,0.02728306322555618,1
000202_01,S7025,0.8359661935423772,0.9537204638157286,0.11775427027335139,1
000202_02,S7025,0.8608150001254511,0.9859280181841501,0.125113018058699,1
000203_01,S7025,0.819849112338498,0.9639708614664249,0.14412174912792686,1
000203_02,S7025,0.95322830106443,0.9859958336494993,0.03276753258506926,1
000205_01,S7025,0.7988361036213348,0.9295329107665395,0.1306968071452047,1
000205_02,S7025,0.904609795976784,0.9852018943395,0.08059209836271597,1
000206_01,S7025,0.826783813876343,0.9003998588409288,0.07361604496458574,1
000206_02,S7025,0.9251839447073933,0.9535813261520097,0.028397381444616454,1
000207_01,S7025,0.8616061266557757,0.9512937698233599,0.08968764316758415,1
000207_02,S7025,0.916209535682286,0.9736173452646794,0.05740780958239333,1
000208_01,S7025,0.8967655456821021,0.9373711478930278,0.040605602210925684,1
000208_02,S7025,0.9087774854251088,0.9462184384124036,0.03744095298729477,1
000209_01,S7025,0.8170147267278428,0.9300687769580794,0.11305405023023662,1
000209_02,S7025,0.9432446711924561,0.9801124214333049,0.03686775024084876,1
000210_01,S7025,0.6111773457352266,0.8874403690505854,0.2762630233153588,1
000210_02,S7025,0.9028216308708101,0.9565841343636817,0.053762503492871594,1
000213_01,S7025,0.8270143616728063,0.934706019443907,0.10769165777110068,1
000213_02,S7025,0.8644264876241408,0.9436318771008282,0.07920538947668743,1
000214_01,S7025,0.7335763898405782,0.9142549582327529,0.18067856839217478,1
000214_02,S7025,0.9265849226068749,0.9704356987877572,0.04385077618088229,1
